store_id,product_id,quantity
1,1,500
2,1,500
3,1,500
4,1,500
5,1,500
1,2,500
2,2,500
3,2,500
4,2,500
5,2,500
1,3,500
2,3,500
3,3,500
4,3,500
5,3,500
1,4,500
2,4,500
3,4,500
4,4,500
5,4,500
1,5,500
2,5,500
3,5,500
4,5,500
5,5,500
1,6,500
2,6,500
3,6,500
4,6,500
5,6,500
1,7,500
2,7,500
3,7,500
4,7,500
5,7,500
1,8,500
2,8,500
3,8,500
4,8,500
5,8,500
1,9,500
2,9,500
3,9,500
4,9,500
5,9,500
1,10,500
2,10,500
3,10,500
4,10,500
5,10,500
1,11,500
2,11,500
3,11,500
4,11,500
5,11,500
1,12,500
2,12,500
3,12,500
4,12,500
5,12,500
1,13,500
2,13,500
3,13,500
4,13,500
5,13,500
1,14,500
2,14,500
3,14,500
4,14,500
5,14,500
1,15,500
2,15,500
3,15,500
4,15,500
5,15,500
1,16,500
2,16,500
3,16,500
4,16,500
5,16,500
1,17,500
2,17,500
3,17,500
4,17,500
5,17,500
1,18,500
2,18,500
3,18,500
4,18,500
5,18,500
1,19,500
2,19,500
3,19,500
4,19,500
5,19,500
1,20,500
2,20,500
3,20,500
4,20,500
5,20,500
1,21,500
2,21,500
3,21,500
4,21,500
5,21,500
1,22,500
2,22,500
3,22,500
4,22,500
5,22,500
1,23,500
2,23,500
3,23,500
4,23,500
5,23,500
1,24,500
2,24,500
3,24,500
4,24,500
5,24,500
1,25,500
2,25,500
3,25,500
4,25,500
5,25,500
1,26,500
2,26,500
3,26,500
4,26,500
5,26,500
1,27,500
2,27,500
3,27,500
4,27,500
5,27,500
1,28,500
2,28,500
3,28,500
4,28,500
5,28,500
1,29,500
2,29,500
3,29,500
4,29,500
5,29,500
1,30,500
2,30,500
3,30,500
4,30,500
5,30,500
1,31,500
2,31,500
3,31,500
4,31,500
5,31,500
1,32,500
2,32,500
3,32,500
4,32,500
5,32,500
1,33,500
2,33,500
3,33,500
4,33,500
5,33,500
1,34,500
2,34,500
3,34,500
4,34,500
5,34,500
1,35,500
2,35,500
3,35,500
4,35,500
5,35,500
1,36,500
2,36,500
3,36,500
4,36,500
5,36,500
1,37,500
2,37,500
3,37,500
4,37,500
5,37,500
1,38,500
2,38,500
3,38,500
4,38,500
5,38,500
1,39,500
2,39,500
3,39,500
4,39,500
5,39,500
1,40,500
2,40,500
3,40,500
4,40,500
5,40,500
1,41,500
2,41,500
3,41,500
4,41,500
5,41,500
1,42,500
2,42,500
3,42,500
4,42,500
5,42,500
1,43,500
2,43,500
3,43,500
4,43,500
5,43,500
1,44,500
2,44,500
3,44,500
4,44,500
5,44,500
1,45,500
2,45,500
3,45,500
